,Titres,Auteur(s),Liste,recensé,Notes
26,Anthologie du soufisme,Eva de Vitray-Meyerovitch,"developpement_personnel, la_gnose, resonnances_mystiques",3,
84,Castes et races,Frithjof Schuon,"097_tradition_primordiale, le_traditionalisme, sophia_perennis",3,
114,Comprendre l'Islam,Frithjof Schuon,"097_tradition_primordiale, developpement_personnel, le_traditionalisme",3,
234,Ecrits sur la franc-maçonnerie (1987),"Julius Evola, Renato Del Ponte","097_tradition_primordiale, la_gnose, le_traditionalisme",3,
320,Hikam : Paroles de sagesse (1286),Ibn Atâ Illâh Al-Iskandarî,"097_tradition_primordiale, developpement_personnel, le_traditionalisme",3,
626,La Philosophie Chrétienne et Orientale de l'Art,Ananda Kentish Coomaraswamy,"097_tradition_primordiale, developpement_personnel, le_traditionalisme",3,
674,La Transformation de la Nature en Art,Ananda Kentish Coomaraswamy,"097_tradition_primordiale, developpement_personnel, le_traditionalisme",3,
896,Le Temps et l'éternité,Ananda Kentish Coomaraswamy,"097_tradition_primordiale, developpement_personnel, le_traditionalisme",3,
1060,Les stations de la sagesse (1953),Frithjof Schuon,"097_tradition_primordiale, le_traditionalisme, sophia_perennis",3,
1260,Qu'est-ce que le soufisme?,"Martin Lings, Roger Du Pasquier","097_tradition_primordiale, developpement_personnel, resonnances_mystiques",3,
1308,Science moderne et sagesse traditionnelle,Titus Burckhardt,"097_tradition_primordiale, le_traditionalisme, sophia_perennis",3,
447,L'Imposture guénonienne (2016),Jean Vaquié,"la_gnose, le_traditionalisme",2,9.4
1355,"Tao te king, un voyage illustré",Lao-Tseu (Laozi),"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,9.2
161,"De Mahomet à l'âge des Réformes - Histoire des croyances et des idées religieuses, tome 3 (1983)",Mircea Eliade,"097_tradition_primordiale, developpement_personnel",2,8.7
642,La Roseraie du mystère (1311),Shabestarî,"developpement_personnel, la_gnose",2,8.7
1376,Traces de lumiere,Faouzi Skali,"097_tradition_primordiale, developpement_personnel",2,8.7
