,Titres,Auteur(s),Liste,recensé,Notes
905,Le Viol des foules par la propagande politique,Serge Tchakhotine,resonnances_mystiques,1,7.8
915,Le cercle sacré,Archie Fire Lame Deer,etats_de_conscience,1,7.8
987,Les Eaux étroites (1976),Julien Gracq,resonnances_mystiques,1,7.8
1008,Les Origines de l'homme (2005),Pascal Picq,resonnances_mystiques,1,7.8
1110,Maximes et pensées · Caractères et anecdotes (1796),Chamfort,resonnances_mystiques,1,7.8
1118,Minima moralia (1951),Theodor W. Adorno,resonnances_mystiques,1,7.8
1162,Nous sommes des révolutionnaires malgré nous (2014),"Bernard Charbonneau, Jacques Ellul",resonnances_mystiques,1,7.8
1183,"Peau noire, masques blancs (1952)",Frantz Fanon,developpement_personnel,1,7.8
1184,Penser l'image (2010),"Gottfried Boehm, Marie-José Mondzain, Jean-Luc Nancy, Emanuele Coccia, Emmanuel Alloa, Hans Belting, W.j.t. Mitchell, Jacques Rancière",resonnances_mystiques,1,7.8
1205,Phénoménologie de la perception (1945),Maurice Merleau-Ponty,resonnances_mystiques,1,7.8
1211,Plume (1938),Henri Michaux,resonnances_mystiques,1,7.8
1247,Psychologie de l'inconscient (1916),Carl Gustav Jung,un_chemin_spirituel,1,7.8
1274,Rendre le monde indisponible (2018),Hartmut Rosa,resonnances_mystiques,1,7.8
1297,Rêver l'obscur (1982),Starhawk,etats_de_conscience,1,7.8
1309,Se distraire à en mourir (1985),Neil Postman,resonnances_mystiques,1,7.8
1322,Signes (1960),Maurice Merleau-Ponty,resonnances_mystiques,1,7.8
1330,"Sorcières, sages-femmes et infirmières (1973)","Barbara Ehrenreich, Deirdre English",etats_de_conscience,1,7.8
1396,Trois dialogues entre Hylas et Philonous (1713),George Berkeley,resonnances_mystiques,1,7.8
1422,Vie nouvelle (1295),Dante Alighieri,developpement_personnel,1,7.8
1464,Éloge de l'insécurité (1951),Alan Watts,developpement_personnel,1,7.8
117,Condition de l'homme moderne (1958),Hannah Arendt,resonnances_mystiques,1,7.7
153,D'un retournement l'autre (2011),Frédéric Lordon,resonnances_mystiques,1,7.7
159,Darwin et les grandes énigmes de la vie (1977),Stephen Jay Gould,resonnances_mystiques,1,7.7
173,De la dignité de l'homme (1486),Jean Pic de La Mirandole,la_gnose,1,7.7
175,De la démocratie en Amérique (1840),Alexis de Tocqueville,resonnances_mystiques,1,7.7
194,Des sources de la connaissance et de l'ignorance (1963),Karl Popper,resonnances_mystiques,1,7.7
201,Dhammapada,,developpement_personnel,1,7.7
202,Dhammapada,Bouddha,la_gnose,1,7.7
224,Droit naturel et histoire (1953),Leo Strauss,resonnances_mystiques,1,7.7
262,Essai sur le don (1925),Marcel Mauss,resonnances_mystiques,1,7.7
323,Histoire d'un ruisseau (1869),Élisée Reclus,resonnances_mystiques,1,7.7
426,L'Espace littéraire (1955),Maurice Blanchot,resonnances_mystiques,1,7.7
445,L'Image-temps (1985),Gilles Deleuze,resonnances_mystiques,1,7.7
452,L'Intelligence et la Pensée,Averroès (Ibn Rushd),la_gnose,1,7.7
492,L'exégèse,Philip K. Dick,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.7
506,L'Âme et le Corps (1912),Henri Bergson,un_chemin_spirituel,1,7.7
512,L'Énergie spirituelle (1919),Henri Bergson,un_chemin_spirituel,1,7.7
543,La Bible de Jérusalem,,developpement_personnel,1,7.7
544,La Chute du ciel (2010),"Davi Kopenawa, Bruce Albert",etats_de_conscience,1,7.7
573,La Fabrique du consommateur,Anthony Galluzzo,resonnances_mystiques,1,7.7
632,"La Prochaine Fois, le feu (1963)",James Baldwin,voir,1,7.7
645,La Révolution d'un seul brin de paille (1975),Masanobu Fukuoka,un_chemin_spirituel,1,7.7
656,La Société de consommation (1970),Jean Baudrillard,resonnances_mystiques,1,7.7
657,La Société de cour (1969),Norbert Elias,resonnances_mystiques,1,7.7
666,La Structure des révolutions scientifiques (1962),Thomas Samuel Kuhn,resonnances_mystiques,1,7.7
793,Le Facteur temps ne sonne jamais deux fois (2007),Étienne Klein,resonnances_mystiques,1,7.7
812,Le Livre de Monelle (1894),Marcel Schwob,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.7
819,Le Livre des chemins (2009),Henri Gougaud,etats_de_conscience,1,7.7
849,Le Mémorial des saints,Farīd al-Dīn Aṭṭār,developpement_personnel,1,7.7
850,Le Normal et le Pathologique (1966),Georges Canguilhem,resonnances_mystiques,1,7.7
860,Le Prince (1532),Nicolas Machiavel,resonnances_mystiques,1,7.7
883,Le Sentiment tragique de la vie (1912),Miguel de Unamuno,resonnances_mystiques,1,7.7
918,Le chat de Schrödinger,J. Gribbin,resonnances_mystiques,1,7.7
984,Les Demeures philosophales (1930),Fulcanelli,la_gnose,1,7.7
986,Les Dépossédés (1992),Robert McLiam Wilson,resonnances_mystiques,1,7.7
994,Les Forêts du Maine (1864),Henry David Thoreau,voir,1,7.7
1003,"Les Mots, la Mort, les Sorts",Jeanne Favret-Saada,etats_de_conscience,1,7.7
1213,Plutôt couler en beauté que flotter sans grâce,Corinne Morel-Darleux,resonnances_mystiques,1,7.7
1240,Propagande (2019),David Colon,resonnances_mystiques,1,7.7
1300,Sages paroles du Dalaï-Lama,Catherine Barry,voir,1,7.7
1306,Sapiens (2011),Yuval Noah Harari,resonnances_mystiques,1,7.7
1368,Théogonie,Hésiode,sophia_perennis,1,7.7
1394,Tristes Tropiques (1955),Claude Lévi-Strauss,resonnances_mystiques,1,7.7
1473,Éloge du carburateur (2009),Matthew B. Crawford,resonnances_mystiques,1,7.7
38,Apprivoiser son ombre (2011),Jean Monbourquette,un_chemin_spirituel,1,7.6
54,Aurélia (1855),Gérard de Nerval,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.6
124,Contre Marcion,Tertullien,la_gnose,1,7.6
133,Corps et biens (1930),Robert Desnos,resonnances_mystiques,1,7.6
190,Des délits et des peines (1764),Cesare Beccaria,resonnances_mystiques,1,7.6
203,Dialectique de la pop (2018),Agnès Gayraud,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.6
215,Discours sur l'origine de l'univers (2010),Étienne Klein,resonnances_mystiques,1,7.6
227,Déchéance de rationalité (2019),Gérald Bronner,resonnances_mystiques,1,7.6
251,Entre le temps et l'éternité,"Ilya Prigogine, Isabelle Stengers",resonnances_mystiques,1,7.6
274,Exercices spirituels (1548),Ignace de Loyola,resonnances_mystiques,1,7.6
294,Fragments et témoignages,Anaximandre,developpement_personnel,1,7.6
335,Histoires de pouvoir,Carlos Castaneda,voir,1,7.6
399,L'Anti-Œdipe (1972),"Gilles Deleuze, Félix Guattari",resonnances_mystiques,1,7.6
411,L'Eau et les Rêves (1942),Gaston Bachelard,resonnances_mystiques,1,7.6
502,L'utilité de l'inutile,"Nuccio Ordine, Abraham Flexner",resonnances_mystiques,1,7.6
522,L'Éveillé (1160),Ibn Tufayl,resonnances_mystiques,1,7.6
547,La Colline inspirée (1913),Maurice Barrès,la_gnose,1,7.6
593,La Kabbale (1974),Gershom Scholem,la_gnose,1,7.6
677,La Vie des plantes (2016),Emanuele Coccia,un_chemin_spirituel,1,7.6
758,Le Capital au XXIe siècle (2013),Thomas Piketty,resonnances_mystiques,1,7.6
802,Le Gène égoïste (1976),Richard Dawkins,resonnances_mystiques,1,7.6
839,Le Monolinguisme de l'Autre (1996),Jacques Derrida,resonnances_mystiques,1,7.6
906,Le Voyage à Ixtlan,Carlos Castaneda,voir,1,7.6
920,Le chevalier à l'armure rouillée,Robert Fischer,resonnances_mystiques,1,7.6
983,Les Confessions (398),Saint Augustin,resonnances_mystiques,1,7.6
989,Les Entretiens,Confucius,developpement_personnel,1,7.6
991,Les Essais (1595),Michel de Montaigne,resonnances_mystiques,1,7.6
1034,Les Trous noirs (1992),Jean-Pierre Luminet,resonnances_mystiques,1,7.6
1082,Lorsque j'étais quelqu'un d'autre,Stéphane Allix,etats_de_conscience,1,7.6
1085,Lumière et matière - Une étrange histoire,Richard Feynman,resonnances_mystiques,1,7.6
1087,Lune Rouge (1994),Miranda Gray,etats_de_conscience,1,7.6
1115,Mes Moires (2019),"Jean-Pierre Dionnet, Christophe Quillien",la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.6
1140,Métamorphoses de l'âme et ses symboles (1950),Carl Gustav Jung,developpement_personnel,1,7.6
1142,Métaphysique,Aristote,sophia_perennis,1,7.6
1153,Ni Dieu ni Maître : Anthologie de l'anarchisme (1965),Daniel Guérin,resonnances_mystiques,1,7.6
1157,Notre existence a-t-elle un sens ?,Jean Staune,resonnances_mystiques,1,7.6
1187,Pensées (1845),Giacomo Leopardi,resonnances_mystiques,1,7.6
1230,Principes d'économie moderne,Joseph E. Stiglitz,resonnances_mystiques,1,7.6
1303,Sahîh al-Boukhârî,Abî Abdallâh Al-Boukhari,developpement_personnel,1,7.6
1350,Sâdhanâ,Rabindranath Tagore,resonnances_mystiques,1,7.6
1384,Traité de savoir vivre à l'usage des jeunes générations (1969),Raoul Vaneigem,resonnances_mystiques,1,7.6
1386,Traité du désespoir et de la béatitude,André Comte-Sponville,resonnances_mystiques,1,7.6
1416,Ur et krur,Julius Evola,097_tradition_primordiale,1,7.6
1451,la baignoire d'archimède,"Nicolas Witkowski, Sven Ortoli",resonnances_mystiques,1,7.6
1452,la médecine psychédélique,Olivier Chambon,etats_de_conscience,1,7.6
1466,Éloge de l'oisiveté (1932),Bertrand Russell,resonnances_mystiques,1,7.6
19,Almanach d'un comté des sables (1949),Aldo Leopold,resonnances_mystiques,1,7.5
116,Comprendre les théories économiques,"Ahmed Silem, Jean-Marie Albertini",resonnances_mystiques,1,7.5
143,Critique de la raison cynique (1983),Peter Sloterdijk,resonnances_mystiques,1,7.5
154,"DMT, La molécule de l'esprit",Rick Strassman,etats_de_conscience,1,7.5
197,Devant la mort,Cicéron,resonnances_mystiques,1,7.5
230,Désobéir pour les animaux,Les désobéissants,voir,1,7.5
266,Essais de théodicée (1710),Gottfried Wilhelm Leibniz,resonnances_mystiques,1,7.5
407,L'Art du calme intérieur,Eckhart Tolle,developpement_personnel,1,7.5
414,L'Empire des signes (1970),Roland Barthes,resonnances_mystiques,1,7.5
463,L'Ordre moins le pouvoir (2001),Normand Baillargeon,resonnances_mystiques,1,7.5
500,L'univers en 100 questions,Jean-Pierre Luminet,resonnances_mystiques,1,7.5
503,L'Âge des low tech (2014),Philippe Bihouix,resonnances_mystiques,1,7.5
509,L'Âne d'or ou Les Métamorphoses,Apulée,la_gnose,1,7.5
517,L'Éthique protestante et l'esprit du capitalisme (1905),Max Weber,resonnances_mystiques,1,7.5
521,L'Éveil de l'intelligence (1973),Jiddu Krishnamurti,developpement_personnel,1,7.5
556,La Convivialité,Ivan Illich,resonnances_mystiques,1,7.5
558,La Culture du narcissisme (1979),Christopher Lasch,resonnances_mystiques,1,7.5
561,La Dialectique de la raison (1944),"Max Horkheimer, Theodor W. Adorno",resonnances_mystiques,1,7.5
603,La Monadologie (1714),Gottfried Wilhelm Leibniz,resonnances_mystiques,1,7.5
638,La Psychanalyse du feu (1938),Gaston Bachelard,resonnances_mystiques,1,7.5
745,La voie du mage,Arnaud Thuly,etats_de_conscience,1,7.5
761,Le Capitalisme de la séduction (1981),Michel Clouscard,resonnances_mystiques,1,7.5
790,Le Démon de la théorie (1998),Antoine Compagnon,resonnances_mystiques,1,7.5
791,Le Désir et son interprétation (1959),Jacques Lacan,la_gnose,1,7.5
854,Le Passé d'une illusion,François Furet,resonnances_mystiques,1,7.5
886,Le Sophiste,Platon,sophia_perennis,1,7.5
889,Le Suicide (1897),Émile Durkheim,resonnances_mystiques,1,7.5
904,Le Versant animal,Jean-Christophe Bailly,voir,1,7.5
956,Le sentiment de soi : histoire d'une découverte,Georges Vigarello,resonnances_mystiques,1,7.5
967,Le voyage sacré du guerrier pacifique (1991),Dan Millman,voir,1,7.5
982,Les Clochards Célestes (1958),Jack Kerouac,voir,1,7.5
1072,"Lettres, maximes, sentences",Épicure,resonnances_mystiques,1,7.5
1109,Maximes (1665),François de la Rochefoucauld,resonnances_mystiques,1,7.5
1128,Mythologies (1957),Roland Barthes,resonnances_mystiques,1,7.5
1138,Mémoires d'un névropathe,Daniel Paul Schreber,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.5
1151,Neuroscience et chamanisme,David Perlmutter,etats_de_conscience,1,7.5
1194,Petit cours d'autodéfense intellectuelle (2006),Normand Baillargeon,resonnances_mystiques,1,7.5
1196,Petit voyage dans le monde des quanta (2004),Étienne Klein,resonnances_mystiques,1,7.5
1223,Pourquoi les pauvres votent à droite ? (2004),Thomas Frank,resonnances_mystiques,1,7.5
1249,Psychologie du Yoga de la kundalini,Carl Gustav Jung,un_chemin_spirituel,1,7.5
1256,Qu'est-ce qu'un dispositif ? (2006),Giorgio Agamben,resonnances_mystiques,1,7.5
1262,Que crève le capitalisme (2020),Hervé Kempf,resonnances_mystiques,1,7.5
1324,Soi-même comme un autre (1990),Paul Ricoeur,resonnances_mystiques,1,7.5
1340,Sur la télévision (1996),Pierre Bourdieu,resonnances_mystiques,1,7.5
1371,Théorie des sentiments moraux (1759),Adam Smith,resonnances_mystiques,1,7.5
1421,Vie et destin de Jésus de Nazareth (2019),Daniel Marguerat,resonnances_mystiques,1,7.5
1433,Voyage sur les flots de galaxies (2016),Hélène Courtois,resonnances_mystiques,1,7.5
1434,Voyager dans l'invisible (2019),Charles Stépanoff,etats_de_conscience,1,7.5
1478,Éthique à Nicomaque,Aristote,resonnances_mystiques,1,7.5
22,Animal radical,Jérôme Ségal,resonnances_mystiques,1,7.4
57,Autoportrait au radiateur (1997),Christian Bobin,resonnances_mystiques,1,7.4
125,Contre la pensée unique,Claude Hagège,resonnances_mystiques,1,7.4
144,Critique de la raison pure (1781),Emmanuel Kant,resonnances_mystiques,1,7.4
147,"Crève, ducon ! (2020)",François Cavanna,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.4
165,De l'esprit des lois - Anthologie (1748),Montesquieu,resonnances_mystiques,1,7.4
177,De la guerre (1832),Carl Von Clausewitz,resonnances_mystiques,1,7.4
184,De la tranquillité de l'âme (60),Sénèque,resonnances_mystiques,1,7.4
295,Frank Zappa ou l'Amérique en déshabillé,Guy Darol,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.4
321,Hildegarde,Léo Henry,resonnances_mystiques,1,7.4
404,L'Art d'avoir toujours raison (1830),Arthur Schopenhauer,resonnances_mystiques,1,7.4
410,L'Avancée de la nuit,Jakuta Alikavazovic,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.4
423,L'Erreur de Descartes (1994),Antonio R. Damasio,etats_de_conscience,1,7.4
430,L'Eurasie (2011),Emmanuel Todd,resonnances_mystiques,1,7.4
442,L'Idéologie allemande (1932),"Friedrich Engels, Karl Marx",resonnances_mystiques,1,7.4
444,L'Illusion économique (1997),Emmanuel Todd,resonnances_mystiques,1,7.4
471,L'Utopie ou la Mort ! (1973),René Dumont,resonnances_mystiques,1,7.4
551,La Connaissance de la vie (1965),Georges Canguilhem,resonnances_mystiques,1,7.4
562,La Dissémination (1972),Jacques Derrida,resonnances_mystiques,1,7.4
594,La Leçon interrompue,Hermann Hesse,resonnances_mystiques,1,7.4
612,La Nature (1836),Ralph Waldo Emerson,resonnances_mystiques,1,7.4
636,La Prospérité du vice,Daniel Cohen,resonnances_mystiques,1,7.4
743,La voie du chamane : un manuel de pouvoir et de guérison,Michael Harner,etats_de_conscience,1,7.4
751,Le Banquet,Platon,sophia_perennis,1,7.4
753,Le Bleu du ciel (1957),Georges Bataille,resonnances_mystiques,1,7.4
772,Le Complexe de la sorcière (2020),Isabelle Sorente,etats_de_conscience,1,7.4
796,Le Fou,Khalil Gibran,livres_que_j_ai_aimes_osho_rajneesh,1,7.4
803,Le Hasard et la Nécessité (1973),Jacques Monod,resonnances_mystiques,1,7.4
826,Le Livre noir de la psychanalyse,"Jacques Van Rillaer, Didier Pleux, Jean Cottraux, Mikkel Borch-Jacobsen, Catherine Meyer",un_chemin_spirituel,1,7.4
834,Le Maître ignorant (1987),Jacques Rancière,resonnances_mystiques,1,7.4
877,Le Savant et le Politique (1917),Max Weber,resonnances_mystiques,1,7.4
895,Le Tarot des imagiers du moyen-âge (1984),Oswald Wirth,la_gnose,1,7.4
919,Le chemin du serpent,Fernando Pessoa,voir,1,7.4
933,Le livre des esprits,Allan Kardec,097_tradition_primordiale,1,7.4
939,Le paradigme perdu : la nature humaine,Edgar Morin,resonnances_mystiques,1,7.4
1005,Les Nourritures affectives (1993),Boris Cyrulnik,un_chemin_spirituel,1,7.4
1023,Les Sept plumes de l'aigle (1999),Henri Gougaud,etats_de_conscience,1,7.4
1030,Les Tactiques de Chronos (2003),Étienne Klein,resonnances_mystiques,1,7.4
1033,Les Trois sagesses chinoises (2010),Cyrille Javary,resonnances_mystiques,1,7.4
1042,Les esprits de la steppe,Corinne Sombrun,etats_de_conscience,1,7.4
1066,Les yeux d'Ezechiel sont ouverts,Raymond Abellio,developpement_personnel,1,7.4
1116,Mes bien chères soeurs (2019),Chloé Delaume,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.4
1123,Mon initiation chez les chamanes,Corinne Sombrun,etats_de_conscience,1,7.4
1147,Naissance de la clinique (1963),Michel Foucault,un_chemin_spirituel,1,7.4
1195,Petit traité de manipulation à l'usage des honnêtes gens (1987),"Robert-Vincent Joule, Jean-Léon Beauvois",resonnances_mystiques,1,7.4
1203,Phèdre (-370),Platon,sophia_perennis,1,7.4
1210,Plantes et chamanisme (2008),"Jan Kounen, Jeremy Narby, Vincent Ravalec",etats_de_conscience,1,7.4
1231,Principes de la connaissance humaine (1710),George Berkeley,resonnances_mystiques,1,7.4
1241,"Propagande, médias et démocratie",Noam Chomsky,resonnances_mystiques,1,7.4
1242,Propos sur le bonheur (1925),Alain,resonnances_mystiques,1,7.4
1319,"Shambhala, La voie sacrée du guerrier",Trungpa Chögyam,etats_de_conscience,1,7.4
1323,Société et solitude (1870),Ralph Waldo Emerson,resonnances_mystiques,1,7.4
1399,Un autre monde contre le fanatisme du marché,Joseph Eugene Stiglitz,resonnances_mystiques,1,7.4
1435,Voyages de Gulliver (1726),Jonathan Swift,la_gnose,1,7.4
102,Civilisation,Régis Debray,resonnances_mystiques,1,7.3
236,Eloge de la différence,Albert Jacquard,resonnances_mystiques,1,7.3
258,Essai d'exploration de l'inconscient (1964),Carl Gustav Jung,un_chemin_spirituel,1,7.3
296,Freakonomics,"Steven D. Levitt, Stephen J. Dubner",resonnances_mystiques,1,7.3
380,Jésus,Jean-Christian Petitfils,resonnances_mystiques,1,7.3
405,L'Art de jouir (1751),Julien Offray de La Mettrie,resonnances_mystiques,1,7.3
499,L'inégalité des chances (1973),Raymond Boudon,resonnances_mystiques,1,7.3
567,La Double Pensée (2008),Jean-Claude Michéa,resonnances_mystiques,1,7.3
568,La Dynamique du capitalisme (1985),Fernand Braudel,resonnances_mystiques,1,7.3
587,La Grande Désillusion,Joseph E. Stiglitz,resonnances_mystiques,1,7.3
633,La Production de l'idéologie dominante (2008),"Luc Boltanski, Pierre Bourdieu",resonnances_mystiques,1,7.3
658,La Société du Spectacle (1967),Guy Debord,resonnances_mystiques,1,7.3
680,La Vie secrète des arbres (2015),Peter Wohlleben,un_chemin_spirituel,1,7.3
731,La société des individus,Norbert Elias,resonnances_mystiques,1,7.3
733,La structure de l'âme,Carl Gustav Jung,un_chemin_spirituel,1,7.3
821,Le Livre des morts tibétain,"Padmasambhava, Yeshe Tsogyal",la_gnose,1,7.3
870,Le Roman de Thèbes (1150),,resonnances_mystiques,1,7.3
881,Le Sens du bonheur (1964),Jiddu Krishnamurti,developpement_personnel,1,7.3
945,Le pèlerinage aux sources,Lanza Del Vasto,voir,1,7.3
997,Les Idées noires de la physique (2016),"Vincent Bontems, Roland Lehoucq",resonnances_mystiques,1,7.3
999,Les Ingénieurs du chaos (2019),Giuliano da Empoli,resonnances_mystiques,1,7.3
1083,Lucie dans le ciel,Tom Verdier,etats_de_conscience,1,7.3
1090,Léviathan (1651),Thomas Hobbes,resonnances_mystiques,1,7.3
1185,Penseurs grecs avant Socrate,Jean Voilquin,developpement_personnel,1,7.3
1259,Qu'est-ce que la vie ? (1944),Erwin Schrödinger,resonnances_mystiques,1,7.3
1279,Rester barbare (2022),Louisa Yousfi,resonnances_mystiques,1,7.3
1298,Rêves et séries américaines,Sarah Hatchuel,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.3
1351,TV LOBOTOMIE - La vérité scientifique sur les effets de la télévision,Michel Desmurget,resonnances_mystiques,1,7.3
1373,Timée,Platon,sophia_perennis,1,7.3
1385,Traité du désespoir (1849),Søren Kierkegaard,resonnances_mystiques,1,7.3
1418,Vente à la criée du lot 49 (1966),Thomas Pynchon,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.3
1440,Y a-t-il un grand architecte dans l'univers ?,"Stephen Hawking, Leonard Mlodinow",etats_de_conscience,1,7.3
1457,Écrits (1966),Jacques Lacan,resonnances_mystiques,1,7.3
0,101 expériences de philosophie quotidienne,Roger-Pol Droit,resonnances_mystiques,1,7.2
29,Antifragile,Nassim-Nicholas Taleb,resonnances_mystiques,1,7.2
157,Dans les forêts de Sibérie (2011),Sylvain Tesson,voir,1,7.2
174,De la division du travail social (1893),Émile Durkheim,resonnances_mystiques,1,7.2
179,De la marche (1862),Henry David Thoreau,voir,1,7.2
208,Dieu et l'État (1882),Mikhail Bakounine,resonnances_mystiques,1,7.2
226,Du domaine des Murmures,Carole Martinez,etats_de_conscience,1,7.2
268,Essais sur l'art et le goût (1757),David Hume,resonnances_mystiques,1,7.2
269,Et l'homme créa les dieux,Pascal Boyer,resonnances_mystiques,1,7.2
370,Jacques le fataliste (1778),Denis Diderot,resonnances_mystiques,1,7.2
374,Journal d'une apprentie chamane,Corinne Sombrun,etats_de_conscience,1,7.2
412,L'Eglise des premiers temps,Jean Daniélou,resonnances_mystiques,1,7.2
474,"L'an 501, la conquête continue",Noam Chomsky,resonnances_mystiques,1,7.2
548,La Commune (1882),Pierre Kropotkine,resonnances_mystiques,1,7.2
549,La Condition postmoderne (1979),Jean-Francois Lyotard,resonnances_mystiques,1,7.2
552,La Connaissance objective (1972),Karl Popper,resonnances_mystiques,1,7.2
569,La Démocratie des crédules,Gérald Bronner,resonnances_mystiques,1,7.2
574,La Fabrique du crétin digital,Michel Desmurget,resonnances_mystiques,1,7.2
580,La Force du silence,Carlos Castaneda,un_chemin_spirituel,1,7.2
591,La Haine de la démocratie (2005),Jacques Rancière,resonnances_mystiques,1,7.2
667,La Symbolique maçonnique,Jules Boucher,la_gnose,1,7.2
676,La Tyrannie de la communication,Ignacio Ramonet,resonnances_mystiques,1,7.2
728,La réalité cachée,Brian Greene,etats_de_conscience,1,7.2
794,Le Feu du dedans,Carlos Castaneda,resonnances_mystiques,1,7.2
806,Le Jardin des fruits (1257),Saâdi,developpement_personnel,1,7.2
858,Le Politique,Platon,sophia_perennis,1,7.2
863,Le Principe responsabilité (1979),Hans Jonas,resonnances_mystiques,1,7.2
878,Le Second Anneau de pouvoir,Carlos Castaneda,voir,1,7.2
882,Le Sentiment même de soi (1999),Antonio R. Damasio,etats_de_conscience,1,7.2
963,Le thriller érotique,Linda Belhadj,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.2
1032,Les Trachiniennes (-445),Sophocle,resonnances_mystiques,1,7.2
1137,Mémoires d'outre-tombe (1850),François-René de Chateaubriand,resonnances_mystiques,1,7.2
1160,Nous n'avons jamais été modernes (1991),Bruno Latour,resonnances_mystiques,1,7.2
1177,Pantagruel (1532),François Rabelais,la_gnose,1,7.2
1202,Philèbe,Platon,sophia_perennis,1,7.2
1208,Plaidoyer en faveur de l'intolérance,Slavoj Žižek,resonnances_mystiques,1,7.2
1221,Pourquoi je hais l'indifférence,Antonio Gramsci,resonnances_mystiques,1,7.2
1248,Psychologie des foules (1895),Gustave Le Bon,resonnances_mystiques,1,7.2
1258,Qu'est-ce que la propriété ? (1840),Pierre-Joseph Proudhon,resonnances_mystiques,1,7.2
35,Apocalypse cognitive,Gérald Bronner,resonnances_mystiques,1,7.1
83,Canzoniere (1374),Pétrarque,la_gnose,1,7.1
121,Contes des sages des chamanes (2009),"Pascal Fauliot, Patrick Fischmann",etats_de_conscience,1,7.1
149,Culture de masse ou culture populaire ? (1981),Christopher Lasch,resonnances_mystiques,1,7.1
198,"Devenez sorciers, devenez savants","Henri Broch, Georges Charpak",resonnances_mystiques,1,7.1
204,Dialogues avec l'ange,Gitta Mallasz,etats_de_conscience,1,7.1
233,Ecotopia (1975),Ernest Callenbach,resonnances_mystiques,1,7.1
421,L'Enseignement de l'ignorance et ses conditions modernes (1999),Jean-Claude Michéa,resonnances_mystiques,1,7.1
441,L'Idolâtrie de la vie,Olivier Rey,resonnances_mystiques,1,7.1
571,La Désobéissance civile (1849),Henry David Thoreau,resonnances_mystiques,1,7.1
664,La Stratégie de l'émotion (2018),Anne-Cécile Robert,resonnances_mystiques,1,7.1
669,La Table d'émeraude,Hermès Trismégiste,sophia_perennis,1,7.1
725,La puissance du féminin,Camille Sfez,etats_de_conscience,1,7.1
879,Le Secret de l'aigle (2000),"Luis Ansa, Henri Gougaud",etats_de_conscience,1,7.1
900,Le Tour d'écrou (1898),Henry James,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.1
965,Le vent se lève (1937),Tatsuo Hori,voir,1,7.1
1127,"Mythes, rêves et mystères",Mircea Eliade,097_tradition_primordiale,1,7.1
1164,"Occultisme, sorcellerie et modes culturelles",Mircea Eliade,la_gnose,1,7.1
1165,Odes,Pierre de Ronsard,la_gnose,1,7.1
1239,Propaganda (1928),Edward Bernays,resonnances_mystiques,1,7.1
1266,Recherches sur la nature et les causes de la richesse des nations (1776),Adam Smith,resonnances_mystiques,1,7.1
1283,Reveillez le chaman qui est en vous,Arnaud Riou,etats_de_conscience,1,7.1
1295,Révolte consommée,"Joseph Heath, Andrew Potter",resonnances_mystiques,1,7.1
1321,Sigmund Freud (1932),Stefan Zweig,un_chemin_spirituel,1,7.1
1448,Zadig ou la Destinée (1747),Voltaire,resonnances_mystiques,1,7.1
6,Aimer désespérément (2006),"André Comte-Sponville, Marie de Solemne, Étienne Klein, Jean-Yves Leloup",097_tradition_primordiale,1,7
72,Big bang et au-delà (2013),Aurélien Barrau,resonnances_mystiques,1,7
74,Bob Dylan by Greil Marcus,Greil Marcus,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7
77,Bréviaire du Chaos,Albert Caraco,resonnances_mystiques,1,7
212,"Dis-moi où tu as mal, je te dirai pourquoi",Michel Odoul,etats_de_conscience,1,7
225,Du contrat social (1762),Jean-Jacques Rousseau,resonnances_mystiques,1,7
260,Essai sur l'entendement humain (1689),John Locke,resonnances_mystiques,1,7
339,Homo Economicus (2012),Daniel Cohen,resonnances_mystiques,1,7
392,L'Affaire Jésus,Henri Guillemin,developpement_personnel,1,7
398,L'Anarchie (1896),Élisée Reclus,resonnances_mystiques,1,7
415,L'Empire du moindre mal (2007),Jean-Claude Michéa,resonnances_mystiques,1,7
575,La Fatigue d'être soi (1998),Alain Ehrenberg,resonnances_mystiques,1,7
738,La vie liquide,Zygmunt Bauman,resonnances_mystiques,1,7
767,Le Chat philosophe (2004),Kwong Kuen Shan,voir,1,7
788,Le Don de l'Aigle,Carlos Castaneda,etats_de_conscience,1,7
857,Le Peuple des humains (2021),Lluis Quintana-Murci,resonnances_mystiques,1,7
868,Le Remède dans le mal (1989),Jean Starobinski,resonnances_mystiques,1,7
962,Le temps des turbulences,Alan Greenspan,resonnances_mystiques,1,7
972,Les Antiquités de Rome (1558),Joachim Du Bellay,la_gnose,1,7
